playerID,allCount,posCount,neuCount,negCount,allTime,posTime,neuTime,negTime
A01,42,0.38095,0.2381,0.38095,238.604,0.33421,0.32478,0.341
A02,32,0.71875,0.09375,0.1875,196.869,0.71214,0.13384,0.15402
A04,32,0.78125,0.0625,0.15625,184.739,0.71306,0.07109,0.21585
A05,34,0.61765,0.08824,0.29412,172.645,0.56981,0.0871,0.3431
A06,37,0.43243,0.24324,0.32432,208.372,0.41547,0.25035,0.33418
A07,36,0.58333,0.13889,0.27778,262.237,0.57565,0.13812,0.28624
A09,47,0.2766,0.25532,0.46809,277.154,0.3106,0.27095,0.41844
A10,42,0.40476,0.28571,0.30952,372.464,0.35863,0.32041,0.32097
A12,38,0.63158,0.13158,0.23684,247.089,0.55026,0.20351,0.24624
A17,39,0.53846,0.23077,0.23077,201.365,0.51688,0.2631,0.22002
A20,44,0.31818,0.25,0.43182,237.439,0.2793,0.26185,0.45885
A25,46,0.26087,0.23913,0.5,316.993,0.26896,0.18519,0.54585
A28,32,0.6875,0.15625,0.15625,217.454,0.66329,0.20382,0.13289
C01,43,0.34884,0.30233,0.34884,252.59,0.32547,0.32972,0.34481
C03,38,0.63158,0.18421,0.18421,299.915,0.60742,0.23265,0.15994
C04,39,0.53846,0.28205,0.17949,248.855,0.47238,0.28878,0.23885
C05,29,0.75862,0.13793,0.10345,163.229,0.70305,0.19563,0.10132
C07,36,0.55556,0.16667,0.27778,218.617,0.60901,0.17388,0.21711
C08,42,0.5,0.2619,0.2381,233.011,0.50283,0.29548,0.2017
C09,40,0.625,0.175,0.2,271.436,0.67511,0.13799,0.1869
C10,37,0.54054,0.16216,0.2973,209.823,0.52256,0.19671,0.28073
C11,43,0.32558,0.30233,0.37209,271.907,0.33747,0.34048,0.32205
C12,41,0.19512,0.29268,0.5122,249.783,0.21389,0.3053,0.48081
C15,40,0.45,0.2,0.35,293.263,0.40292,0.24036,0.35672
C17,44,0.52273,0.25,0.22727,236.729,0.48874,0.30317,0.20809
C18,49,0.16327,0.2449,0.59184,279.112,0.12078,0.25588,0.62334
C20,42,0.40476,0.2381,0.35714,239.5,0.38486,0.25894,0.3562
C21,41,0.36585,0.29268,0.34146,229.507,0.32683,0.3175,0.35567
C24,35,0.6,0.17143,0.22857,308.407,0.62036,0.18443,0.19522
C26,43,0.27907,0.23256,0.48837,226.315,0.28058,0.25937,0.46005
C27,43,0.48837,0.18605,0.32558,290.846,0.49541,0.15914,0.34545
C30,42,0.38095,0.28571,0.33333,262.369,0.40604,0.29108,0.30288
C35,39,0.51282,0.25641,0.23077,212.742,0.47675,0.28914,0.23411
C36,31,0.70968,0.19355,0.09677,154.493,0.67399,0.20321,0.12281
C38,38,0.42105,0.23684,0.34211,198.244,0.41608,0.23305,0.35087
C41,42,0.40476,0.2381,0.35714,253.565,0.34298,0.3242,0.33283
C47,45,0.33333,0.28889,0.37778,240.198,0.29403,0.29535,0.41062
